original,label,antonym_raw,add_not_raw,antonym,add_not
"Known as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .",positive,"ignore as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .","not Known as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .",The concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises to provide financial services to the people.,The concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises to provide financial services to the people.
Diluted loss per share stood at EUR 0.15 versus EUR 0.26 .,positive,Diluted gain per share stood at EUR 0.15 versus EUR 0.26 .,not Diluted loss per share stood at EUR 0.15 versus EUR 0.26 .,Diluted gain per share stood at EUR 0.15 versus EUR 0.26 .,Diluted loss per share stood at EUR 0.15 versus EUR 0.26 .
Increased trust of our clients in YIT can be seen as apartment sales accelerated .,positive,decrease trust of our clients in YIT can be seen as apartment sales accelerated .,not Increased trust of our clients in YIT can be seen as apartment sales accelerated .,The decrease in trust of our clients in YIT can be seen as apartment sales accelerated.,Increased trust of our clients in YIT can be seen as apartment sales accelerated.
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",positive,"Investors will discontinue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .","Investors will not continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .","Investors will discontinue being interested in the company's share although it is not quite cheap, said Affarsvarlden.","Investors will not continue to be interested in the company's share although it is not quite cheap, said Affarsvarlden."
Ruukki Group calculates that it has lost EUR 4mn in the failed project .,negative,Ruukki Group calculates that it has keep EUR 4mn in the failed project .,Ruukki Group doesn't calculate that it has lost EUR 4mn in the failed project .,Ruukki Group calculates that it has kept EUR 4mn in the failed project.,Ruukki Group doesn't calculate that it has lost EUR 4mn in the failed project.
"Operating profit was EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009 .",positive,"Operating profit was EUR 9.8 mn , compared to a gain of EUR 12.7 mn in the corresponding period in 2009 .","Operating profit wasn't EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009 .","Operating profit was EUR 9.8 mn , compared to a gain of EUR 12.7 mn in the corresponding period in 2009 .",Operating profit wasn't EUR 9.8 mn compared to a loss of EUR 12.7 mn in the corresponding period in 2009 .
Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .,negative,Finnish meat company Atria can no longer promise a insufficient amount of domestic beef to its customers .,Finnish meat company Atria can no longer not promise a sufficient amount of domestic beef to its customers .,Finnish meat company Atria can no longer promise a insufficient amount of domestic beef to its customers.,Finnish meat company Atria can no longer not promise a sufficient amount of domestic beef to its customers.
Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,negative,gain for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,Loss for the period didn't total EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,The gain for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,Loss for the period didn't total EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .
This combined with foreign investments creates interesting opportunities for Solteq .,positive,This combined with domestic investments creates interesting opportunities for Solteq .,This not combined with foreign investments creates interesting opportunities for Solteq .,This combined with domestic investments creates interesting opportunities for Solteq.,This not combined with foreign investments creates interesting opportunities for Solteq.
"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .",negative,"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , prosecute a decrease of 6 % .","Agricultural newspaper Maaseudun Tulevaisuus didn't have 318,000 readers , representing a decrease of 6 % .","Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , a decrease of 6 %.","Agricultural newspaper Maaseudun Tulevaisuus didn't have 318,000 readers , representing a decrease of 6 % ."
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,"Shares of Standard Chartered ( STAN ) fall 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .","Shares of Standard Chartered ( STAN ) didn't rise 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .","Shares of Standard Chartered ( STAN ) fall 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 %.","Shares of Standard Chartered ( STAN ) didn't rise 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 %."
"External net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices .",negative,"internal net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices .","External net sales from the printing business didn't fall by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices .","Internal net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices.","External net sales from the printing business didn't fall by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices."
That would be an increase from estimated sales of 117 million last year .,positive,That would be an decrease from estimated sales of 117 million last year .,That would not be an increase from estimated sales of 117 million last year .,That would be an increase from estimated sales of 117 million last year.,That would not be an increase from estimated sales of 117 million last year.
Operating profit margin increased from 11.2 % to 11.7 % .,positive,Operating profit margin decrease from 11.2 % to 11.7 % .,Operating profit margin didn't increase from 11.2 % to 11.7 % .,Operating profit margin decreases from 11.2 % to 11.7 %.,Operating profit margin didn't increase from 11.2 % to 11.7 %.
"Sales VAT inclusive expanded by 19 percent , to 351 million euros .",positive,"Sales VAT inclusive contract by 19 percent , to 351 million euros .","Sales VAT inclusive not expanded by 19 percent , to 351 million euros .","Sales VAT inclusive contract by 19 percent, to 351 million euros .","Sales VAT inclusive not expanded by 19 percent, to 351 million euros ."
Sony Ericsson and Nokia dominated the list of best-selling handsets with five models each .,positive,Sony Ericsson and Nokia dominated the list of best-selling handsets with five models each .,Sony Ericsson and Nokia didn't dominate the list of best-selling handsets with five models each .,Sony Ericsson and Nokia dominated the list of best-selling handsets with five models each.,Sony Ericsson and Nokia didn't dominate the list of best-selling handsets with five models each.
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",positive,"At the beginning of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .","At the end of March 2007 , the group 's order book wasn't at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .","At the beginning of March 2007, the group's order book was at EUR 39.6 million , up 42 % from the corresponding period in 2006 .","At the end of March 2007, the group's order book wasn't at EUR 39.6 million , up 42 % from the corresponding period in 2006 ."
"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",positive,"The combination of all disservice enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .","The combination of all services not enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .","The combination of all disservices enables us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America  says Uwe Bakosch .","The combination of all services not only enables us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America  says Uwe Bakosch ."
"Last year , 8.3 million passengers flew the airline , down 4 percent from 2007 .",negative,"Last year , 8.3 million passengers flew the airline , down 4 percent from 2007 .","Last year , 8.3 million passengers didn't fly the airline , down 4 percent from 2007 .","Last year, 8.3 million passengers flew the airline, down 4 percent from 2007 .","Last year, 8.3 million passengers didn't fly the airline, down 4 percent from 2007 ."
"Finnish pulp and paper machinery maker Vaahto Group Oyj swung to a 1.1 mln euro $ 1.4 mln net profit in the fiscal 2005-06 , ended August 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05 .",positive,"Finnish pulp and paper machinery maker Vaahto Group Oyj swung to a 1.1 mln euro $ 1.4 mln gross profit in the fiscal 2005-06 , ended August 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05 .","Finnish pulp and paper machinery maker Vaahto Group Oyj swung to a 1.1 mln euro $ 1.4 mln net profit in the fiscal 2005-06 , didn't end August 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05 .","Finnish pulp and paper machinery maker Vaahto Group Oyj swung to a 1.1 mln euro $ 1.4 mln gross profit in the fiscal 2005-06 , ended August 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05 .","Finnish pulp and paper machinery maker Vaahto Group Oyj swung to a 1.1 mln euro $ 1.4 mln net profit in the fiscal 2005-06 , didn't end August 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05 ."
Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,positive,malfunction result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,not Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,The malfunction result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,Operating results including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .
It therefore seems that Finnish shipping company Viking Line will get the subsidy it needs to order its new LNG-fuelled vessel .,positive,It therefore seems that Finnish shipping company Viking Line will leave the subsidy it needs to order its new LNG-fuelled vessel .,It therefore doesn't seem that Finnish shipping company Viking Line will get the subsidy it needs to order its new LNG-fuelled vessel .,It therefore seems that Finnish shipping company Viking Line will leave the subsidy it needs to order its new LNG-fuelled vessel.,It therefore doesn't seem that Finnish shipping company Viking Line will get the subsidy it needs to order its new LNG-fuelled vessel.
"The agreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China .",positive,"The disagreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China .","The agreement will not provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China .","The disagreement will provide The Switch with double the converter capacity, whilst opening up further manufacturing locations in China.","The agreement will not provide The Switch with double the converter capacity, whilst opening up further manufacturing locations in China."
"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia .",positive,"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia .","Finnish Metso Paper doesn't have been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia .","Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries' ( SFI ) pulp mill in Sabah, Malaysia.","Finnish Metso Paper has not been awarded a contract for the rebuild of Sabah Forest Industries' ( SFI ) pulp mill in Sabah, Malaysia."
"The Finnish supplier of BSS-OSS and VAS for telecom operators , Tecnotree , has received expansion orders worth a total US$ 7.3 mn for its convergent charging and next generation messaging solutions in Latin America , the company announced without specifying which operators had placed the orders .",positive,"The Finnish supplier of BSS-OSS and VAS for telecom operators , Tecnotree , has say_farewell expansion orders worth a total US $ 7.3 mn for its convergent charging and next generation messaging solutions in Latin America , the company announced without specifying which operators had placed the orders .","The Finnish supplier of BSS-OSS and VAS for telecom operators , Tecnotree , doesn't have received expansion orders worth a total US $ 7.3 mn for its convergent charging and next generation messaging solutions in Latin America , the company announced without specifying which operators had placed the orders .","The Finnish supplier of BSS-OSS and VAS for telecom operators , Tecnotree , has announced expansion orders worth a total of US $ 7.3 mn for its convergent charging and next generation messaging solutions in Latin America , the company announced without specifying which operators had placed the orders.","The Finnish supplier of BSS-OSS and VAS for telecom operators , Tecnotree , doesn't have received expansion orders worth a total US $ 7.3 mn for its convergent charging and next generation messaging solutions in Latin America , the company announced without specifying which operators had placed the orders."
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,"Operating profit for the three-month period decrease from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .","Operating profit for the three-month period didn't increase from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .","Operating profit for the three-month period decreased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005.","Operating profit for the three-month period didn't increase from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005."
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",positive,"Seppala 's revenue decrease by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .","Seppala 's revenue not increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .","Seppala's revenue decreased by 0.2 % to EUR10 .1 m. In Finland, revenue went down by 2.4 % to EUR6 .8 m, while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine.","Seppala's revenue not increased by 0.2 % to EUR10 .1 m. In Finland, revenue went down by 2.4 % to EUR6 .8 m, while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine."
Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+Ârbindelsen bridge in Gothenburg in Sweden .,positive,Finnish Rautaruukki has been awarded a contract to recall and install steel superstructures for the Partihallsf+Ârbindelsen bridge in Gothenburg in Sweden .,Finnish Rautaruukki doesn't have been awarded a contract to supply and install steel superstructures for the Partihallsf+Ârbindelsen bridge in Gothenburg in Sweden .,Finnish company Rautaruukki has been awarded a contract to recall and install steel superstructures for the Partihallsf+rbindelsen bridge in Gothenburg in Sweden.,"Finnish company Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+rbindelsen bridge in Gothenburg, Sweden."
Both the net sales and operating profit were record high in the company 's history .,positive,Both the gross sales and operating profit were record high in the company 's history .,Both the net sales and operating profit weren't record high in the company 's history .,Both the gross sales and operating profit were record highs in the company's history.,Both the net sales and operating profit weren't record high in the company's history.
"Insurer Axa ( PAR : CS ) slid by 5.35 % to EUR 14.15 , after Citigroup and ING slashed their targets on the stock .",negative,"Insurer Axa ( PAR : CS ) slid by 5.35 % to EUR 14.15 , after Citigroup and ING slashed their targets on the stock .","Insurer Axa ( PAR : CS ) slid by 5.35 % to EUR 14.15 , after Citigroup and ING didn't slash their targets on the stock .",Insurer Axa ( PAR : CS ) slid by 5.35 % to EUR 14.15 after Citigroup and ING slashed their targets on the stock.,Insurer Axa ( PAR : CS ) slid by 5.35 % to EUR 14.15 after Citigroup and ING didn't slash their targets on the stock.
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,positive,Finnish nonfinancial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,Finnish financial group Aktia 's operating profit for 2009 didn't increase to EUR 47.0 mn from EUR 6.6 mn in 2008 .,Finnish non-financial group Aktia's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,Finnish financial group Aktia's operating profit for 2009 didn't increase to EUR 47.0 mn from EUR 6.6 mn in 2008 .
"Operating profit was EUR 11.07 mn , up from EUR 8.65 mn .",positive,"Operating profit was EUR 11.07 mn , up from EUR 8.65 mn .","Operating profit wasn't EUR 11.07 mn , up from EUR 8.65 mn .","Operating profit was EUR 11.07 mn, up from EUR 8.65 mn.","Operating profit wasn't EUR 11.07 mn , up from EUR 8.65 mn."
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,negative,Finnish retail hardware developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,Finnish retail software developer Aldata Solution Oyj didn't report a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,Finnish retail hardware developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,Finnish retail software developer Aldata Solution Oyj didn't report a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .
"Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .",positive,"Fiskars , a 360-year-old global business worst known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .","Fiskars , a 360-year-old global business best not known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .","Fiskars , a 360-year-old global business worst known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete.","Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete."
"Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn .",positive,"Sales worsen to SEK 1,553 mn , compared with SEK 1,408 mn .","Sales not improved to SEK 1,553 mn , compared with SEK 1,408 mn .","Sales worsen to SEK 1,553 mn compared with SEK 1,408 mn .","Sales not improved to SEK 1,553 mn compared with SEK 1,408 mn ."
"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",negative,"Coca-Cola was the market follower of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .","Coca-Cola wasn't the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .","Coca-Cola was the market follower of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005.","Coca-Cola wasn't the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005."
3 January 2011 - Finnish flag carrier Finnair Oyj ( HEL : FIA1S ) said today it sealed a nine-year sale and leaseback agreement for its newest Airbus A330 aircraft for syndication into the Japanese operating lease market .,positive,3 January 2011 - Finnish flag carrier Finnair Oyj ( HEL : FIA1S ) said today it unseal a nine-year sale and leaseback agreement for its newest Airbus A330 aircraft for syndication into the Japanese operating lease market .,3 January 2011 - Finnish flag carrier Finnair Oyj ( HEL : FIA1S ) didn't say today it sealed a nine-year sale and leaseback agreement for its newest Airbus A330 aircraft for syndication into the Japanese operating lease market .,Finland's flag carrier Finnair Oyj ( HEL : FIA1S ) announced today it has signed a nine-year sale and leaseback agreement for its newest Airbus A330 aircraft for syndication into the Japanese operating lease market.,Finland's flag carrier Finnair Oyj ( HEL : FIA1S ) didn't say today it sealed a nine-year sale and leaseback agreement for its newest Airbus A330 aircraft for syndication into the Japanese operating lease market.
"By combining its existing solutions into a single platform , Comptel said that it has reduced the cost of deployment .",positive,"By combining its existing solutions into a common platform , Comptel said that it has reduced the cost of deployment .","By not combining its existing solutions into a single platform , Comptel said that it has reduced the cost of deployment .","By combining its existing solutions into a common platform, Comptel said that it has reduced the cost of deployment.","By not combining its existing solutions into a single platform, Comptel said that it has reduced the cost of deployment."
"`` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing .",positive,"`` This contract disprove our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing .","`` This contract doesn't demonstrate our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing .","This contract disproves our ability to apply our minerals and metals technologies in adjacent industries, such as oil shale processing.","This contract doesn't demonstrate our ability to apply our minerals and metals technologies in adjacent industries, such as oil shale processing."
Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .,positive,Operating profit worsen by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .,Operating profit not improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .,Operating profit worsened by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .,Operating profit not improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .
"The Ministry of Water in Tanzania has awarded Poyry a water and sanitation engineering assignment for the rehabilitation and extension of water supply and sanitation infrastructure in Bukoba and Musoma , situated at Lake Victoria in northern Tanzania .",positive,"The Ministry of Water in Tanzania has awarded Poyry a water and sanitation engineering assignment for the rehabilitation and flexion of water supply and sanitation infrastructure in Bukoba and Musoma , situated at Lake Victoria in northern Tanzania .","The Ministry of Water in Tanzania doesn't have awarded Poyry a water and sanitation engineering assignment for the rehabilitation and extension of water supply and sanitation infrastructure in Bukoba and Musoma , situated at Lake Victoria in northern Tanzania .","The Ministry of Water in Tanzania has awarded Poyry a water and sanitation engineering assignment for the rehabilitation and flexion of water supply and sanitation infrastructure in Bukoba and Musoma , situated at Lake Victoria in northern Tanzania.","The Ministry of Water in Tanzania doesn't have awarded Poyry a water and sanitation engineering assignment for the rehabilitation and extension of water supply and sanitation infrastructure in Bukoba and Musoma , situated at Lake Victoria in northern Tanzania ."
Small investors have voiced fears that the shares will end up with risk investors .,negative,large investors have voiced fears that the shares will end up with risk investors .,Small investors don't have voiced fears that the shares will end up with risk investors .,Large investors have voiced fears that the shares will end up with risk investors.,Small investors don't have voiced fears that the shares will end up with risk investors.
Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,negative,Operating profit ascend from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,Operating profit didn't fall from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,Operating profit rose from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006.,Operating profit didn't fall from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .
